lag,corr
-14,-0.3141386508991607
-13,-0.3237472105025079
-12,-0.33287089158952216
-11,-0.331531223958434
-10,-0.32989721338055517
-9,-0.3314604530039675
-8,-0.33199938721199285
-7,-0.33792620421890934
-6,-0.31256997261790004
-5,-0.32176477792670927
-4,-0.30889223277869093
-3,-0.29915080219334056
-2,-0.28430974215732435
-1,-0.2774919192935041
0,-0.2643713973011397
1,-0.23768748966539602
2,-0.24241007116866276
3,-0.23127804831108223
4,-0.23466281119100807
5,-0.22629978128092207
6,-0.22175716998546371
7,-0.22692651364515087
8,-0.20568623372996322
9,-0.21122902147570505
10,-0.19235726710023093
11,-0.17128049905462528
12,-0.18278162439578735
13,-0.1703009640992981
14,-0.16305012108872496
