lag,corr
-14,-0.0006974395427690762
-13,-0.012173622259107739
-12,0.017029073112540073
-11,-0.011608902247442477
-10,-0.005884995266008443
-9,-0.013346931920758968
-8,-0.03937275999886135
-7,-0.03291550225542748
-6,-0.06422293228268557
-5,-0.0640526264653229
-4,-0.07147065368000226
-3,-0.08545249114148587
-2,-0.07578774217721006
-1,-0.10700208689219827
0,-0.08264200129021718
1,-0.09740879671368383
2,-0.11425820333424712
3,-0.10704394542347091
4,-0.11839710775767535
5,-0.12217590756122078
6,-0.1251979445668693
7,-0.14135751813432465
8,-0.11135208826175799
9,-0.13006582445403347
10,-0.10102589879215236
11,-0.11919529864671863
12,-0.08835436207146846
13,-0.09223723544190089
14,-0.1153451539402088
